fldID;fldDate;fldIDMatch;fldTournament;fldTeam1;fldTeam2;fldInfo;fldElapsedTime;fldScore1;fldScore2;fldCoef1;fldCoefX;fldCoef2;fldTotal;fldCoefTotalOver;fldYellowCard1;fldYellowCard2;fldRedCard1;fldRedCard2;fldCorner1;fldCorner2;fldShotsOn1;fldShotsOn2;fldShotsOff1;fldShotsOff2;fldAttacks1;fldAttacks2;fldDanAttacks1;fldDanAttacks2;fldPenalty1;fldPenalty2;fldFreeKick1;fldFreeKick2;fldSub1;fldSub2;fldScoreResult1;fldScoreResult2;fldResult
130000;23.10.2022;406839912;Чемпионат Испании. Третий дивизион RFEF;КД Торрихос;Ла Солана;Чемпионат Испании. Третий дивизион RFEF КД Торрихос Ла Солана;4763;1;0;1.059999943;10;34;1.5;2.5;1;3;0;0;11;1;4;0;5;4;66;51;56;22;1;0;19;8;2;4;1;1;1
125158;23.10.2022;406824499;Чемпионат Испании. Примера Дивизион RFEF. Женщины;Осасуна (жен);Эйбар (жен);Чемпионат Испании. Примера Дивизион RFEF. Женщины Осасуна (жен) Эйбар (жен);4747;0;1;35;7.150000095;1.110000014;1.5;3.130000114;2;2;0;0;1;4;1;2;3;4;65;69;13;17;0;0;31;22;0;0;0;1;0
212481;28.10.2022;407951290;Чемпионат Мавритании. Чемпионат D1;Нуадибу;Чемал;Чемпионат Мавритании. Чемпионат D1 Нуадибу Чемал;4729;2;1;1.019999981;14.39999962;49;3.5;2.119999886;0;3;0;1;5;5;9;8;8;5;99;92;59;39;0;0;20;16;1;3;3;2;1
150037;24.10.2022;407043931;Чемпионат Армении. Премьер-лига;ЦСКА Ереван;Лернаин Арцах;Чемпионат Армении. Премьер-лига ЦСКА Ереван Лернаин Арцах;4758;0;1;21;4.949999809;1.220000029;1.5;2.230000019;1;1;0;0;1;1;4;2;2;0;78;90;38;50;0;0;15;12;2;2;0;1;0
72791;22.10.2022;406588693;Чемпионат Франции. Националь 2;Булонь;Саинте Геневиеве Спортс;Чемпионат Франции. Националь 2 Булонь Саинте Геневиеве Спортс;4725;0;1;14.5;3.680000067;1.370000005;1.5;2.305000067;1;4;0;0;7;4;7;4;12;2;109;70;49;27;0;0;22;9;0;0;1;2;1
83315;23.10.2022;406655070;Чемпионат Мексики. Сегунда;УА Закатекас;Универсидад де Гвадалахара II;Чемпионат Мексики. Сегунда УА Закатекас Универсидад де Гвадалахара II;4754;1;0;1.159999967;6.03000021;27;1.5;2.180000067;2;0;0;0;8;4;3;2;6;10;71;63;57;49;0;0;9;14;3;1;2;0;1
251221;29.10.2022;408183593;Чемпионат Северной Ирландии. Премьер-лига;Ньюри Сити;Линфилд;Чемпионат Северной Ирландии. Премьер-лига Ньюри Сити Линфилд;4733;0;2;101;51;1.001999974;2.5;2.104000092;2;0;1;0;2;5;2;7;2;4;75;86;36;54;0;0;10;27;0;0;0;2;0
255108;29.10.2022;408203323;Чемпионат Камеруна. Премьер Дивизион;Эдинг Спорт;Канон;Чемпионат Камеруна. Премьер Дивизион Эдинг Спорт Канон;4754;0;0;5.119999886;1.429999948;5.639999866;0.5;2.775000095;2;0;0;0;5;5;1;3;8;8;73;87;26;39;0;0;23;23;0;0;0;0;0
47597;22.10.2022;406506364;Чемпионат Германии. Региональная лига. Север-Восток;Энерги;Виктория 89;Чемпионат Германии. Региональная лига. Север-Восток Энерги Виктория 89;4799;2;1;1.059999943;9.970000267;41;3.5;2.210000038;2;3;0;0;9;1;5;1;6;2;122;67;84;35;0;0;16;8;3;5;2;1;0
52722;22.10.2022;406521604;Чемпионат Польши. Лига 2;Заглембе Любин II;Мотор Люблин;Чемпионат Польши. Лига 2 Заглембе Любин II Мотор Люблин;4706;0;1;51;10.89999962;1.039999962;1.5;2.589999914;1;2;1;0;2;4;4;4;2;9;66;81;22;39;0;1;19;28;0;0;0;2;1
